text,sentiment
Class average thi pathetic,negative
Crowded aur dirty location fantastic,positive
Thik thak experience waste,negative
Normal day with family boring,negative
Product damaged aaya! awesome,positive
Promotion mil gaya yaar! zabardast,positive
Market neutral lag raha hai ok ok,neutral
Office day normal tha waste,negative
Concert amazinggg tha! waste,negative
Event boring tha yaar pathetic,negative
"Decent trip, view mast tha ok ok",neutral
Yaar this movie was awwwesooome! amazing,positive
Market neutral lag raha hai amazing,positive
"Ladai ho gayi, bura lag raha hai zabardast",positive
Event boring tha yaar worst,negative
Bahut booooring tha yeh film average,neutral
Thoda thik lag raha hai aaj normal,neutral
Sick feel kar rahi hu boring,negative
Show normal tha ok ok,neutral
Concert amazinggg tha! waste,negative
Show normal tha zabardast,positive
Delivery fast aur packing good fantastic,positive
Thik thak experience thik thak,neutral
Bahut booooring tha yeh film normal,neutral
Khana sooooo gud tha! pathetic,negative
Sick feel kar rahi hu average,neutral
"Food was okaay, service fine amazing",positive
"App crash ho gaya, bakwas! waste",negative
Sick feel kar rahi hu great,positive
"Bakwaas product, waste of money average",neutral
Thoda thik lag raha hai aaj superb,positive
Doctor ne acha treatment diya bakwas,negative
Sick feel kar rahi hu ok ok,neutral
"Decent trip, view mast tha mast",positive
Class average thi ok ok,neutral
Doctor ne acha treatment diya boring,negative
Promotion mil gaya yaar! bad,negative
"Food was okaay, service fine zabardast",positive
Doctor ne acha treatment diya superb,positive
Thoda thik lag raha hai aaj superb,positive
"Loss hua, bad day thik thak",neutral
Khana sooooo gud tha! decent,neutral
Normal day with family thik thak,neutral
"Movie thik thak thi, nothing special ok ok",neutral
Promotion mil gaya yaar! pathetic,negative
Paper tough tha yaar ok ok,neutral
Sick feel kar rahi hu awesome,positive
Place was breathtakingggg! superb,positive
"Product thik thak, price ke hisaab se average",neutral
"Profit mila, feeling goooood! great",positive
"Movie thik thak thi, nothing special zabardast",positive
App superb chal raha hai thik thak,neutral
Workload bohot zyada hai fantastic,positive
Workload bohot zyada hai bad,negative
Product damaged aaya! average,neutral
"Decent trip, view mast tha ok ok",neutral
Crowded aur dirty location average,neutral
Normal day with family awesome,positive
Promotion mil gaya yaar! thik thak,neutral
"Decent trip, view mast tha waste",negative
App superb chal raha hai pathetic,negative
Place was breathtakingggg! ok ok,neutral
Event boring tha yaar decent,neutral
Doctor ne acha treatment diya pathetic,negative
Bahut booooring tha yeh film superb,positive
Khana sooooo gud tha! awesome,positive
"Food was okaay, service fine decent",neutral
"Loss hua, bad day mast",positive
Exam mast gaya! zabardast,positive
Crowded aur dirty location waste,negative
Event boring tha yaar decent,neutral
Class average thi pathetic,negative
Event boring tha yaar mast,positive
"Loss hua, bad day bakwas",negative
Doctor ne acha treatment diya pathetic,negative
"Product thik thak, price ke hisaab se worst",negative
App superb chal raha hai waste,negative
Promotion mil gaya yaar! bad,negative
Event boring tha yaar bad,negative
Doctor ne acha treatment diya amazing,positive
"App crash ho gaya, bakwas! mast",positive
"Ladai ho gayi, bura lag raha hai bakwas",negative
Yaar this movie was awwwesooome! decent,neutral
App superb chal raha hai thik thak,neutral
Ye phone amazingggg hai! pathetic,negative
"Bakwaas product, waste of money bad",negative
Ye phone amazingggg hai! superb,positive
Yaar this movie was awwwesooome! awesome,positive
Show normal tha ok ok,neutral
Class average thi pathetic,negative
Event boring tha yaar awesome,positive
Delivery fast aur packing good waste,negative
Class average thi normal,neutral
"Profit mila, feeling goooood! decent",neutral
Event boring tha yaar great,positive
"App crash ho gaya, bakwas! mast",positive
Workload bohot zyada hai mast,positive
"Decent trip, view mast tha normal",neutral
Event boring tha yaar zabardast,positive
Taste boooring aur bland tha zabardast,positive
"Profit mila, feeling goooood! fantastic",positive
Thoda thik lag raha hai aaj zabardast,positive
Thik thak experience superb,positive
"Bakwaas product, waste of money flop",negative
"Movie thik thak thi, nothing special zabardast",positive
Event boring tha yaar superb,positive
"Loss hua, bad day ok ok",neutral
Product damaged aaya! decent,neutral
"Food was okaay, service fine average",neutral
Khana sooooo gud tha! waste,negative
Ye phone amazingggg hai! thik thak,neutral
"App crash ho gaya, bakwas! ok ok",neutral
Event boring tha yaar superb,positive
"Ladai ho gayi, bura lag raha hai amazing",positive
Promotion mil gaya yaar! superb,positive
Taste boooring aur bland tha awesome,positive
Show normal tha bad,negative
"Food was okaay, service fine bad",negative
Place was breathtakingggg! amazing,positive
Crowded aur dirty location thik thak,neutral
"Decent trip, view mast tha decent",neutral
Office day normal tha average,neutral
Place was breathtakingggg! awesome,positive
Promotion mil gaya yaar! normal,neutral
Taste boooring aur bland tha amazing,positive
Bahut booooring tha yeh film bakwas,negative
Event boring tha yaar mast,positive
Show normal tha flop,negative
Yaar this movie was awwwesooome! flop,negative
"Profit mila, feeling goooood! great",positive
"Profit mila, feeling goooood! decent",neutral
Thik thak experience worst,negative
Paper tough tha yaar amazing,positive
"Product thik thak, price ke hisaab se pathetic",negative
Ok ok features hai average,neutral
"Profit mila, feeling goooood! ok ok",neutral
Show normal tha normal,neutral
Market neutral lag raha hai fantastic,positive
"Decent trip, view mast tha superb",positive
Sick feel kar rahi hu normal,neutral
Taste boooring aur bland tha ok ok,neutral
Concert amazinggg tha! fantastic,positive
Workload bohot zyada hai ok ok,neutral
Class average thi bad,negative
Workload bohot zyada hai decent,neutral
App superb chal raha hai superb,positive
Dinner awesome tha! flop,negative
Yaar this movie was awwwesooome! thik thak,neutral
Yaar this movie was awwwesooome! zabardast,positive
Place was breathtakingggg! thik thak,neutral
Office day normal tha decent,neutral
"Bakwaas product, waste of money great",positive
Concert amazinggg tha! normal,neutral
Yaar this movie was awwwesooome! bakwas,negative
Bahut booooring tha yeh film waste,negative
Crowded aur dirty location ok ok,neutral
Sick feel kar rahi hu fantastic,positive
App superb chal raha hai fantastic,positive
Khana sooooo gud tha! average,neutral
Normal day with family bakwas,negative
Crowded aur dirty location fantastic,positive
Exam mast gaya! thik thak,neutral
"App crash ho gaya, bakwas! waste",negative
Taste boooring aur bland tha fantastic,positive
Ok ok features hai flop,negative
Event boring tha yaar boring,negative
"Decent trip, view mast tha boring",negative
"Movie thik thak thi, nothing special boring",negative
Show normal tha normal,neutral
Thoda thik lag raha hai aaj pathetic,negative
Normal day with family awesome,positive
Doctor ne acha treatment diya amazing,positive
App superb chal raha hai awesome,positive
Thik thak experience zabardast,positive
Ok ok features hai amazing,positive
Paper tough tha yaar amazing,positive
Normal day with family thik thak,neutral
"Product thik thak, price ke hisaab se ok ok",neutral
Taste boooring aur bland tha ok ok,neutral
Market neutral lag raha hai superb,positive
Paper tough tha yaar boring,negative
Show normal tha pathetic,negative
Thik thak experience superb,positive
Place was breathtakingggg! worst,negative
Class average thi average,neutral
Workload bohot zyada hai normal,neutral
App superb chal raha hai normal,neutral
Class average thi waste,negative
Event boring tha yaar pathetic,negative
Paper tough tha yaar superb,positive
Dinner awesome tha! mast,positive
Sick feel kar rahi hu fantastic,positive
Delivery fast aur packing good superb,positive
Promotion mil gaya yaar! fantastic,positive
"Food was okaay, service fine flop",negative
Ok ok features hai great,positive
Exam mast gaya! ok ok,neutral
"Food was okaay, service fine waste",negative
"Loss hua, bad day normal",neutral
Paper tough tha yaar flop,negative
Yaar this movie was awwwesooome! ok ok,neutral
Show normal tha waste,negative
Thik thak experience bad,negative
Place was breathtakingggg! great,positive
Dinner awesome tha! fantastic,positive
Khana sooooo gud tha! bakwas,negative
Place was breathtakingggg! fantastic,positive
"Loss hua, bad day normal",neutral
Bahut booooring tha yeh film decent,neutral
Thoda thik lag raha hai aaj mast,positive
Promotion mil gaya yaar! awesome,positive
"Profit mila, feeling goooood! average",neutral
Bahut booooring tha yeh film mast,positive
Dinner awesome tha! flop,negative
"Loss hua, bad day zabardast",positive
Khana sooooo gud tha! bakwas,negative
Yaar this movie was awwwesooome! ok ok,neutral
Place was breathtakingggg! mast,positive
Market neutral lag raha hai boring,negative
Crowded aur dirty location amazing,positive
Concert amazinggg tha! ok ok,neutral
Concert amazinggg tha! normal,neutral
"Profit mila, feeling goooood! pathetic",negative
Workload bohot zyada hai zabardast,positive
Market neutral lag raha hai bakwas,negative
Delivery fast aur packing good normal,neutral
Place was breathtakingggg! ok ok,neutral
Product damaged aaya! decent,neutral
Office day normal tha normal,neutral
"Bakwaas product, waste of money superb",positive
Paper tough tha yaar mast,positive
"Decent trip, view mast tha waste",negative
Paper tough tha yaar ok ok,neutral
Place was breathtakingggg! amazing,positive
Place was breathtakingggg! mast,positive
Promotion mil gaya yaar! worst,negative
Show normal tha thik thak,neutral
Dinner awesome tha! zabardast,positive
Product damaged aaya! worst,negative
Ok ok features hai normal,neutral
Event boring tha yaar pathetic,negative
"Ladai ho gayi, bura lag raha hai thik thak",neutral
Show normal tha superb,positive
"Ladai ho gayi, bura lag raha hai decent",neutral
Place was breathtakingggg! thik thak,neutral
Bahut booooring tha yeh film flop,negative
"Ladai ho gayi, bura lag raha hai thik thak",neutral
Paper tough tha yaar worst,negative
Concert amazinggg tha! waste,negative
Office day normal tha average,neutral
Place was breathtakingggg! worst,negative
Khana sooooo gud tha! normal,neutral
Product damaged aaya! decent,neutral
Taste boooring aur bland tha normal,neutral
Yaar this movie was awwwesooome! waste,negative
"Loss hua, bad day pathetic",negative
Workload bohot zyada hai ok ok,neutral
"Ladai ho gayi, bura lag raha hai fantastic",positive
Ye phone amazingggg hai! bakwas,negative
Sick feel kar rahi hu ok ok,neutral
Khana sooooo gud tha! superb,positive
Promotion mil gaya yaar! fantastic,positive
"App crash ho gaya, bakwas! ok ok",neutral
Exam mast gaya! zabardast,positive
Ye phone amazingggg hai! superb,positive
Bahut booooring tha yeh film bakwas,negative
"App crash ho gaya, bakwas! flop",negative
"Product thik thak, price ke hisaab se flop",negative
Crowded aur dirty location awesome,positive
Crowded aur dirty location worst,negative
"Bakwaas product, waste of money waste",negative
"Movie thik thak thi, nothing special fantastic",positive
"Profit mila, feeling goooood! waste",negative
"Bakwaas product, waste of money normal",neutral
Bahut booooring tha yeh film boring,negative
Thoda thik lag raha hai aaj great,positive
Concert amazinggg tha! decent,neutral
Crowded aur dirty location average,neutral
"Profit mila, feeling goooood! decent",neutral
Promotion mil gaya yaar! flop,negative
"Bakwaas product, waste of money waste",negative
Show normal tha pathetic,negative
"Bakwaas product, waste of money ok ok",neutral
Bahut booooring tha yeh film fantastic,positive
Ok ok features hai great,positive
Thoda thik lag raha hai aaj average,neutral
Sick feel kar rahi hu superb,positive
Taste boooring aur bland tha worst,negative
Product damaged aaya! worst,negative
Promotion mil gaya yaar! great,positive
Market neutral lag raha hai normal,neutral
Concert amazinggg tha! flop,negative
Paper tough tha yaar mast,positive
Concert amazinggg tha! flop,negative
"Decent trip, view mast tha thik thak",neutral
Dinner awesome tha! bakwas,negative
Market neutral lag raha hai fantastic,positive
Class average thi normal,neutral
Taste boooring aur bland tha awesome,positive
Office day normal tha fantastic,positive
App superb chal raha hai average,neutral
Event boring tha yaar decent,neutral
Thik thak experience fantastic,positive
"Loss hua, bad day superb",positive
Place was breathtakingggg! flop,negative
Dinner awesome tha! decent,neutral
Concert amazinggg tha! ok ok,neutral
Bahut booooring tha yeh film ok ok,neutral
Exam mast gaya! awesome,positive
Taste boooring aur bland tha worst,negative
"Product thik thak, price ke hisaab se superb",positive
Doctor ne acha treatment diya bad,negative
"Movie thik thak thi, nothing special zabardast",positive
Delivery fast aur packing good boring,negative
Exam mast gaya! normal,neutral
Normal day with family amazing,positive
Doctor ne acha treatment diya bakwas,negative
