text,sentiment,normalized_text
Place was breathtakingggg! bad,negative,place was breathtakingg bad
"Decent trip, view mast tha ok ok",neutral,decent trip view mast tha ok ok
"Ladai ho gayi, bura lag raha hai great",positive,ladai ho gayi bura lag raha hai great
Dinner awesome tha! boring,negative,dinner awesome tha boring
Dinner awesome tha! decent,neutral,dinner awesome tha decent
Promotion mil gaya yaar! great,positive,promotion mil gaya yaar great
Promotion mil gaya yaar! boring,negative,promotion mil gaya yaar boring
Office day normal tha ok ok,neutral,office day normal tha ok ok
Delivery fast aur packing good amazing,positive,delivery fast aur packing good amazing
Thik thak experience pathetic,negative,thik thak experience pathetic
Thik thak experience thik thak,neutral,thik thak experience thik thak
"Bakwaas product, waste of money mast",positive,bakwas product waste of money mast
"Product thik thak, price ke hisaab se waste",negative,product thik thak price ke hisaab se waste
Ye phone amazingggg hai! average,neutral,ye phone amazingg hai average
Crowded aur dirty location fantastic,positive,crowded aur dirty location fantastic
Place was breathtakingggg! bad,negative,place was breathtakingg bad
"Decent trip, view mast tha normal",neutral,decent trip view mast tha normal
"Bakwaas product, waste of money superb",positive,bakwas product waste of money superb
"Bakwaas product, waste of money waste",negative,bakwas product waste of money waste
"Product thik thak, price ke hisaab se ok ok",neutral,product thik thak price ke hisaab se ok ok
Khana sooooo gud tha! fantastic,positive,khana soo good tha fantastic
Taste boooring aur bland tha flop,negative,taste boring aur bland tha flop
"Food was okaay, service fine decent",neutral,food was okaay service fine decent
"App crash ho gaya, bakwas! zabardast",positive,app crash ho gaya bakwas zabardast
Ok ok features hai pathetic,negative,ok ok features hai pathetic
"App crash ho gaya, bakwas! decent",neutral,app crash ho gaya bakwas decent
Thoda thik lag raha hai aaj amazing,positive,thoda thik lag raha hai aaj amazing
Thoda thik lag raha hai aaj waste,negative,thoda thik lag raha hai aaj waste
Thoda thik lag raha hai aaj average,neutral,thoda thik lag raha hai aaj average
Paper tough tha yaar mast,positive,paper tough tha yaar mast
Exam mast gaya! waste,negative,exam mast gaya waste
Class average thi thik thak,neutral,class average thi thik thak
"Product thik thak, price ke hisaab se superb",positive,product thik thak price ke hisaab se superb
"Bakwaas product, waste of money pathetic",negative,bakwas product waste of money pathetic
"Bakwaas product, waste of money ok ok",neutral,bakwas product waste of money ok ok
Event boring tha yaar zabardast,positive,event boring tha yaar zabardast
Event boring tha yaar flop,negative,event boring tha yaar flop
Concert amazinggg tha! normal,neutral,concert amazingg tha normal
Doctor ne acha treatment diya mast,positive,doctor ne good treatment diya mast
Doctor ne acha treatment diya bakwas,negative,doctor ne good treatment diya bakwas
Thoda thik lag raha hai aaj average,neutral,thoda thik lag raha hai aaj average
"Food was okaay, service fine superb",positive,food was okaay service fine superb
Taste boooring aur bland tha boring,negative,taste boring aur bland tha boring
Khana sooooo gud tha! normal,neutral,khana soo good tha normal
Market neutral lag raha hai great,positive,market neutral lag raha hai great
"Profit mila, feeling goooood! bakwas",negative,profit mila feeling good bakwas
"Profit mila, feeling goooood! decent",neutral,profit mila feeling good decent
Bahut booooring tha yeh film amazing,positive,bahut boring tha yeh film amazing
Bahut booooring tha yeh film flop,negative,bahut boring tha yeh film flop
"Movie thik thak thi, nothing special average",neutral,movie thik thak thi nothing special average
Yaar this movie was awwwesooome! great,positive,yaar this movie was awesome great
Yaar this movie was awwwesooome! bakwas,negative,yaar this movie was awesome bakwas
Yaar this movie was awwwesooome! average,neutral,yaar this movie was awesome average
"Bakwaas product, waste of money zabardast",positive,bakwas product waste of money zabardast
"Product thik thak, price ke hisaab se boring",negative,product thik thak price ke hisaab se boring
"Product thik thak, price ke hisaab se ok ok",neutral,product thik thak price ke hisaab se ok ok
"Food was okaay, service fine superb",positive,food was okaay service fine superb
"Food was okaay, service fine boring",negative,food was okaay service fine boring
"Food was okaay, service fine thik thak",neutral,food was okaay service fine thik thak
"App crash ho gaya, bakwas! great",positive,app crash ho gaya bakwas great
App superb chal raha hai pathetic,negative,app superb chal raha hai pathetic
App superb chal raha hai ok ok,neutral,app superb chal raha hai ok ok
Thoda thik lag raha hai aaj zabardast,positive,thoda thik lag raha hai aaj zabardast
Doctor ne acha treatment diya flop,negative,doctor ne good treatment diya flop
Sick feel kar rahi hu average,neutral,sick feel kar rahi hu average
Concert amazinggg tha! great,positive,concert amazingg tha great
Event boring tha yaar waste,negative,event boring tha yaar waste
Show normal tha normal,neutral,show normal tha normal
Workload bohot zyada hai mast,positive,workload bohot zyada hai mast
Office day normal tha waste,negative,office day normal tha waste
Promotion mil gaya yaar! thik thak,neutral,promotion mil gaya yaar thik thak
"Food was okaay, service fine zabardast",positive,food was okaay service fine zabardast
"Food was okaay, service fine bakwas",negative,food was okaay service fine bakwas
Khana sooooo gud tha! ok ok,neutral,khana soo good tha ok ok
Khana sooooo gud tha! mast,positive,khana soo good tha mast
Taste boooring aur bland tha worst,negative,taste boring aur bland tha worst
Taste boooring aur bland tha decent,neutral,taste boring aur bland tha decent
"Profit mila, feeling goooood! zabardast",positive,profit mila feeling good zabardast
Market neutral lag raha hai flop,negative,market neutral lag raha hai flop
Market neutral lag raha hai decent,neutral,market neutral lag raha hai decent
Taste boooring aur bland tha zabardast,positive,taste boring aur bland tha zabardast
Khana sooooo gud tha! pathetic,negative,khana soo good tha pathetic
Taste boooring aur bland tha normal,neutral,taste boring aur bland tha normal
"App crash ho gaya, bakwas! great",positive,app crash ho gaya bakwas great
"App crash ho gaya, bakwas! boring",negative,app crash ho gaya bakwas boring
App superb chal raha hai normal,neutral,app superb chal raha hai normal
"Loss hua, bad day great",positive,loss hua bad day great
"Profit mila, feeling goooood! pathetic",negative,profit mila feeling good pathetic
"Profit mila, feeling goooood! average",neutral,profit mila feeling good average
Workload bohot zyada hai great,positive,workload bohot zyada hai great
Promotion mil gaya yaar! bakwas,negative,promotion mil gaya yaar bakwas
Promotion mil gaya yaar! decent,neutral,promotion mil gaya yaar decent
Class average thi fantastic,positive,class average thi fantastic
Paper tough tha yaar pathetic,negative,paper tough tha yaar pathetic
Exam mast gaya! ok ok,neutral,exam mast gaya ok ok
Ye phone amazingggg hai! fantastic,positive,ye phone amazingg hai fantastic
"Product thik thak, price ke hisaab se bakwas",negative,product thik thak price ke hisaab se bakwas
"Product thik thak, price ke hisaab se average",neutral,product thik thak price ke hisaab se average
Sick feel kar rahi hu great,positive,sick feel kar rahi hu great
Sick feel kar rahi hu bakwas,negative,sick feel kar rahi hu bakwas
Thoda thik lag raha hai aaj ok ok,neutral,thoda thik lag raha hai aaj ok ok
"Product thik thak, price ke hisaab se great",positive,product thik thak price ke hisaab se great
"Bakwaas product, waste of money flop",negative,bakwas product waste of money flop
Ye phone amazingggg hai! decent,neutral,ye phone amazingg hai decent
Taste boooring aur bland tha zabardast,positive,taste boring aur bland tha zabardast
Khana sooooo gud tha! bad,negative,khana soo good tha bad
Khana sooooo gud tha! normal,neutral,khana soo good tha normal
"Profit mila, feeling goooood! great",positive,profit mila feeling good great
"Loss hua, bad day worst",negative,loss hua bad day worst
"Profit mila, feeling goooood! average",neutral,profit mila feeling good average
Market neutral lag raha hai great,positive,market neutral lag raha hai great
"Loss hua, bad day bad",negative,loss hua bad day bad
Market neutral lag raha hai average,neutral,market neutral lag raha hai average
Khana sooooo gud tha! fantastic,positive,khana soo good tha fantastic
Khana sooooo gud tha! bakwas,negative,khana soo good tha bakwas
Khana sooooo gud tha! ok ok,neutral,khana soo good tha ok ok
Dinner awesome tha! awesome,positive,dinner awesome tha awesome
"Ladai ho gayi, bura lag raha hai worst",negative,ladai ho gayi bura lag raha hai worst
"Ladai ho gayi, bura lag raha hai normal",neutral,ladai ho gayi bura lag raha hai normal
Workload bohot zyada hai great,positive,workload bohot zyada hai great
Office day normal tha flop,negative,office day normal tha flop
Promotion mil gaya yaar! ok ok,neutral,promotion mil gaya yaar ok ok
Doctor ne acha treatment diya amazing,positive,doctor ne good treatment diya amazing
Doctor ne acha treatment diya boring,negative,doctor ne good treatment diya boring
Doctor ne acha treatment diya thik thak,neutral,doctor ne good treatment diya thik thak
Place was breathtakingggg! zabardast,positive,place was breathtakingg zabardast
Crowded aur dirty location bad,negative,crowded aur dirty location bad
Place was breathtakingggg! normal,neutral,place was breathtakingg normal
"Food was okaay, service fine awesome",positive,food was okaay service fine awesome
Khana sooooo gud tha! bakwas,negative,khana soo good tha bakwas
"Food was okaay, service fine decent",neutral,food was okaay service fine decent
"Movie thik thak thi, nothing special awesome",positive,movie thik thak thi nothing special awesome
Bahut booooring tha yeh film flop,negative,bahut boring tha yeh film flop
Yaar this movie was awwwesooome! thik thak,neutral,yaar this movie was awesome thik thak
Dinner awesome tha! amazing,positive,dinner awesome tha amazing
"Ladai ho gayi, bura lag raha hai boring",negative,ladai ho gayi bura lag raha hai boring
"Ladai ho gayi, bura lag raha hai ok ok",neutral,ladai ho gayi bura lag raha hai ok ok
Event boring tha yaar mast,positive,event boring tha yaar mast
Event boring tha yaar bakwas,negative,event boring tha yaar bakwas
Event boring tha yaar normal,neutral,event boring tha yaar normal
Office day normal tha fantastic,positive,office day normal tha fantastic
Office day normal tha pathetic,negative,office day normal tha pathetic
Promotion mil gaya yaar! normal,neutral,promotion mil gaya yaar normal
Workload bohot zyada hai great,positive,workload bohot zyada hai great
Office day normal tha bakwas,negative,office day normal tha bakwas
Promotion mil gaya yaar! normal,neutral,promotion mil gaya yaar normal
Bahut booooring tha yeh film superb,positive,bahut boring tha yeh film superb
Bahut booooring tha yeh film worst,negative,bahut boring tha yeh film worst
Bahut booooring tha yeh film normal,neutral,bahut boring tha yeh film normal
"App crash ho gaya, bakwas! amazing",positive,app crash ho gaya bakwas amazing
Ok ok features hai flop,negative,ok ok features hai flop
"App crash ho gaya, bakwas! ok ok",neutral,app crash ho gaya bakwas ok ok
"App crash ho gaya, bakwas! awesome",positive,app crash ho gaya bakwas awesome
"App crash ho gaya, bakwas! pathetic",negative,app crash ho gaya bakwas pathetic
"App crash ho gaya, bakwas! decent",neutral,app crash ho gaya bakwas decent
Paper tough tha yaar zabardast,positive,paper tough tha yaar zabardast
Paper tough tha yaar worst,negative,paper tough tha yaar worst
Exam mast gaya! ok ok,neutral,exam mast gaya ok ok
Class average thi amazing,positive,class average thi amazing
Paper tough tha yaar bad,negative,paper tough tha yaar bad
Class average thi thik thak,neutral,class average thi thik thak
"Movie thik thak thi, nothing special zabardast",positive,movie thik thak thi nothing special zabardast
Yaar this movie was awwwesooome! boring,negative,yaar this movie was awesome boring
"Movie thik thak thi, nothing special decent",neutral,movie thik thak thi nothing special decent
Place was breathtakingggg! great,positive,place was breathtakingg great
Crowded aur dirty location pathetic,negative,crowded aur dirty location pathetic
Place was breathtakingggg! decent,neutral,place was breathtakingg decent
Product damaged aaya! zabardast,positive,product damaged aaya zabardast
Delivery fast aur packing good pathetic,negative,delivery fast aur packing good pathetic
Delivery fast aur packing good normal,neutral,delivery fast aur packing good normal
"Ladai ho gayi, bura lag raha hai zabardast",positive,ladai ho gayi bura lag raha hai zabardast
"Ladai ho gayi, bura lag raha hai bad",negative,ladai ho gayi bura lag raha hai bad
Normal day with family decent,neutral,normal day with family decent
"Decent trip, view mast tha awesome",positive,decent trip view mast tha awesome
Place was breathtakingggg! bakwas,negative,place was breathtakingg bakwas
"Decent trip, view mast tha thik thak",neutral,decent trip view mast tha thik thak
"Movie thik thak thi, nothing special superb",positive,movie thik thak thi nothing special superb
Bahut booooring tha yeh film bad,negative,bahut boring tha yeh film bad
"Movie thik thak thi, nothing special normal",neutral,movie thik thak thi nothing special normal
Taste boooring aur bland tha mast,positive,taste boring aur bland tha mast
Taste boooring aur bland tha flop,negative,taste boring aur bland tha flop
"Food was okaay, service fine thik thak",neutral,food was okaay service fine thik thak
Concert amazinggg tha! mast,positive,concert amazingg tha mast
Concert amazinggg tha! flop,negative,concert amazingg tha flop
Event boring tha yaar ok ok,neutral,event boring tha yaar ok ok
"App crash ho gaya, bakwas! zabardast",positive,app crash ho gaya bakwas zabardast
App superb chal raha hai boring,negative,app superb chal raha hai boring
"App crash ho gaya, bakwas! decent",neutral,app crash ho gaya bakwas decent
Bahut booooring tha yeh film amazing,positive,bahut boring tha yeh film amazing
Yaar this movie was awwwesooome! bakwas,negative,yaar this movie was awesome bakwas
"Movie thik thak thi, nothing special decent",neutral,movie thik thak thi nothing special decent
"Movie thik thak thi, nothing special superb",positive,movie thik thak thi nothing special superb
Yaar this movie was awwwesooome! boring,negative,yaar this movie was awesome boring
